iter	Passed	Remaining
650	1349	2795
651	1351	2793
652	1352	2790
653	1354	2788
654	1356	2786
655	1358	2783
656	1360	2780
657	1361	2777
658	1363	2774
659	1365	2772
660	1367	2769
661	1368	2766
662	1371	2764
663	1372	2762
664	1374	2759
665	1376	2756
666	1377	2753
667	1379	2751
668	1381	2748
669	1382	2745
670	1384	2742
671	1386	2740
672	1388	2737
673	1390	2734
674	1392	2732
675	1393	2730
676	1395	2727
677	1397	2724
678	1398	2721
679	1400	2718
680	1402	2716
681	1404	2713
682	1405	2710
683	1407	2708
684	1409	2705
685	1410	2702
686	1412	2699
687	1413	2696
688	1415	2693
689	1417	2691
690	1419	2689
691	1421	2686
692	1423	2683
693	1424	2681
694	1426	2678
695	1427	2675
696	1429	2672
697	1431	2670
698	1433	2668
699	1435	2665
700	1437	2663
701	1439	2661
702	1441	2658
703	1442	2655
704	1444	2652
705	1445	2650
706	1447	2647
707	1449	2645
708	1451	2643
709	1453	2641
710	1455	2638
711	1457	2636
712	1458	2633
713	1460	2630
714	1462	2627
715	1463	2625
716	1466	2623
717	1467	2620
718	1469	2618
719	1471	2615
720	1473	2613
721	1474	2610
722	1476	2607
723	1478	2605
724	1479	2602
725	1482	2601
726	1484	2598
727	1485	2595
728	1487	2593
729	1488	2590
730	1490	2587
731	1492	2584
732	1493	2582
733	1495	2579
734	1497	2578
735	1499	2575
736	1501	2573
737	1503	2570
738	1504	2567
739	1506	2564
740	1507	2562
741	1509	2559
742	1511	2556
743	1513	2555
744	1515	2553
745	1517	2551
746	1519	2548
747	1521	2546
748	1522	2543
749	1524	2540
750	1526	2537
751	1527	2535
752	1529	2533
753	1532	2531
754	1533	2529
755	1535	2526
756	1536	2523
757	1538	2521
758	1540	2518
759	1541	2515
760	1543	2512
761	1545	2511
762	1547	2508
763	1549	2506
764	1550	2503
765	1552	2500
766	1554	2498
767	1555	2495
768	1557	2492
769	1559	2490
770	1561	2489
771	1563	2487
772	1565	2484
773	1566	2481
774	1568	2479
775	1570	2476
776	1571	2474
777	1573	2471
778	1577	2472
779	1579	2470
780	1581	2467
781	1582	2465
782	1584	2462
783	1586	2460
784	1587	2457
785	1589	2455
786	1591	2452
787	1593	2450
788	1595	2448
789	1597	2446
790	1598	2443
791	1600	2441
792	1602	2438
793	1603	2436
794	1605	2433
795	1607	2431
796	1609	2429
797	1611	2427
798	1613	2424
799	1615	2422
800	1616	2420
801	1618	2417
802	1620	2415
803	1621	2412
804	1623	2410
805	1625	2408
806	1627	2406
807	1629	2403
808	1630	2400
809	1632	2398
810	1634	2396
811	1636	2393
812	1637	2391
813	1639	2388
814	1641	2387
815	1643	2384
816	1645	2382
817	1647	2380
818	1648	2377
819	1650	2375
820	1652	2372
821	1654	2370
822	1655	2368
823	1657	2366
824	1659	2363
825	1661	2361
826	1662	2358
827	1664	2356
828	1666	2353
829	1668	2351
830	1669	2349
831	1671	2346
832	1673	2344
833	1675	2342
834	1676	2339
835	1678	2337
836	1680	2334
837	1682	2332
838	1683	2329
839	1685	2327
840	1686	2324
841	1688	2322
842	1690	2320
843	1692	2318
844	1694	2315
845	1695	2313
846	1697	2310
847	1699	2308
848	1700	2305
849	1702	2303
850	1704	2301
851	1706	2299
852	1708	2296
853	1709	2294
854	1711	2292
855	1713	2289
856	1714	2287
